Nr,Gebiet,gehört,Wahlberechtigte,,,,Wähler,,,,Ungültige,,,,Gültige,,,,SPD,,,,CDU,,,,FDP,,,,GRÜNE,,,,DIE LINKE,,,,NPD,,,,MLPD,,,,DVU,,,,PIRATEN,,,,RENTNER,,,,ZENTRUM,,,,PARTEILOS,,,,DIE VIOLETTEN,,,,REP,,,,ödp,,,,GRÜNE/GAL,,,,ödp Hamburg,,,,BüSo,,,,DIE LINKE.,,,,Die Tierschutzpartei,,,,RRP,,,,PBC,,,,GRÜNE/B90,,,,FWD,,,,Freie Union,,,,PSG,,,,DKP,,,,FAMILIE,,,,Volksabstimmung,,,,ADM,,,,CSU,,,,BP,,,,CM,,,,
,,zu,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,
,,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,1,"Flensburg - Schleswig",1,225216,,225216,,163329,,163329,,4117,,4181,,159212,,159148,,52139,,41793,,61793,,51068,,15292,,24187,,16399,,21967,,11918,,13481,,1302,,1240,,,,47,,,,159,,,,3385,,,,1821,,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"Diepholz - Nienburg I",4,193411,,193411,,141838,,141838,,1646,,1315,,140192,,140523,,48313,,38955,,52599,,47565,,15928,,22067,,11917,,13999,,,,,,1660,,1442,,,,27,,,,193,,,,2435,,,,,,,,,,,,,,,,,,,,,,,,143,,,,,,,,,,,,,,9775,,11701,,,,1059,,,,937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"Osterholz - Verden",4,192320,,192320,,144883,,144883,,1642,,1337,,143241,,143546,,52397,,41979,,53080,,45908,,10787,,17889,,12318,,17053,,,,,,2417,,1981,,,,24,,,,187,,,,2339,,,,,,,,,,,,,,,,,,,,,,,,152,,,,,,,,,,,,,,12242,,13830,,,,1228,,,,976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"Rotenburg I - Soltau-Fallingbostel",4,168573,,168573,,121941,,121941,,1702,,1326,,120239,,120615,,42395,,33279,,48344,,42324,,9895,,16930,,9101,,12155,,,,,,2138,,1825,,,,22,,,,167,,,,2252,,,,,,,,,,,,,,,,,,,,,,,,133,,,,,,,,,,,,,,8366,,9759,,,,1172,,,,597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"Harburg",4,191159,,191159,,148918,,148918,,1976,,1552,,146942,,147366,,45002,,36139,,59657,,50104,,15812,,24967,,13772,,18002,,,,,,1935,,1636,,,,33,,,,177,,,,2963,,,,,,,,,,,,,,,,,,,,,,,,238,,,,,,,,,,,,,,9611,,10825,,,,1132,,1153,,1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"Lüchow-Dannenberg - Lüneburg",4,177098,,177098,,131466,,131466,,1695,,1366,,129771,,130100,,40411,,32321,,43229,,37291,,11242,,16323,,19645,,23543,,,,,,1860,,1594,,,,32,,,,135,,,,2795,,,,,,,,,,,,,,,,,,,,,,,,194,,,,,,,,,,,,,,11935,,13166,,,,1002,,1449,,1704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"Osnabrück-Land",4,197143,,197143,,144630,,144630,,1706,,1353,,142924,,143277,,46028,,37936,,63175,,55599,,12940,,21117,,10393,,13227,,,,,,1382,,1243,,,,26,,,,120,,,,2268,,,,,,,,,,,,,,,,,,,,,,,,190,,,,,,,,,,,,,,9006,,10211,,,,854,,,,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"Stadt Osnabrück",4,192473,,192473,,143711,,143711,,1584,,1370,,142127,,142341,,46979,,38000,,54522,,48398,,14823,,19941,,14282,,18463,,,,,,945,,848,,,,18,,,,88,,,,3168,,,,,,,,,,658,,,,,,,,,,,,,,216,,,,,,,,,,,,,,9918,,11878,,,,880,,,,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"Nienburg II - Schaumburg",4,198376,,198376,,143398,,143398,,1706,,1376,,141692,,142022,,58649,,46797,,52714,,45750,,8712,,17698,,10217,,13815,,,,,,2036,,1858,,,,42,,,,147,,,,2454,,,,,,,,,,567,,,,,,,,,,,,,,183,,,,,,,,,,,,,,8797,,10847,,,,1079,,,,1352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"Stadt Hannover I",4,180088,,180088,,131369,,131369,,1556,,1381,,129813,,129988,,50592,,40497,,42621,,34448,,9699,,16680,,13364,,19019,,,,,,1759,,1681,,176,,88,,,,118,,,,3102,,,,,,,,,,,,,,,,,,,,,,,,190,,,,,,,,,,,,,,10624,,12111,,,,1081,,978,,973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"Stadt Hannover II",4,190623,,190623,,140587,,140587,,1655,,1392,,138932,,139195,,55068,,41482,,44534,,33872,,8657,,16098,,15797,,24705,,,,,,1573,,1411,,,,137,,,,122,,,,4368,,,,,,,,,,417,,,,,,,,,,,,,,221,,,,,,,,,,,,,,12886,,14786,,,,1106,,,,887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"Hannover-Land I",4,232214,,232214,,175757,,175757,,2251,,1764,,173506,,173993,,67178,,53236,,66311,,58219,,14560,,24492,,11642,,16993,,,,,,2642,,2288,,,,46,,,,179,,,,3137,,,,,,,,,,,,,,,,,,,,,,,,301,,,,,,,,,,,,,,11173,,12601,,,,1362,,,,1139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"Celle - Uelzen",4,217316,,217316,,157137,,157137,,1991,,1701,,155146,,155436,,50107,,42402,,68572,,55393,,11351,,22295,,10801,,14770,,,,,,2501,,2291,,,,40,,,,180,,,,2957,,,,,,,,,,,,,,,,,,,,,,,,190,,,,,,,,,,,,,,10130,,11765,,,,1130,,1684,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Gifhorn - Peine",4,216957,,216957,,161017,,161017,,2012,,1822,,159005,,159195,,64365,,52292,,58827,,53085,,10073,,17875,,9476,,14217,,,,,,2029,,1882,,,,41,,,,155,,,,3359,,,,,,,,,,388,,,,,,,,,,,,,,181,,,,,,,,,,,,,,11663,,13314,,,,1297,,1346,,1497,,838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"Hameln-Pyrmont - Holzminden",4,197394,,197394,,143185,,143185,,2203,,1948,,140982,,141237,,55842,,47115,,49787,,41166,,10401,,19736,,10849,,13322,,,,,,2283,,1982,,,,53,,,,146,,,,2571,,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,,,,11820,,12911,,,,1285,,,,820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"Hannover-Land II",4,239450,,239450,,183314,,183314,,2258,,2005,,181056,,181309,,73215,,59493,,65573,,57144,,12982,,22004,,12533,,18936,,,,,,2853,,2534,,,,53,,,,181,,,,3528,,,,,,,,,,502,,,,,,,,,,,,,,248,,,,,,,,,,,,,,11976,,13908,,,,1513,,1422,,1767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"Hildesheim",4,222804,,222804,,167520,,167520,,2201,,1802,,165319,,165718,,64555,,54487,,60376,,52747,,10231,,18752,,14856,,17360,,,,,,2606,,2452,,,,52,,,,152,,,,3191,,,,,,,,,,,,,,,,,,,,,,,,171,,,,,,,,,,,,,,11402,,13429,,,,1405,,1293,,1520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"Salzgitter - Wolfenbüttel",4,213208,,213208,,157578,,157578,,2468,,2167,,155110,,155411,,69631,,53144,,50519,,47719,,9436,,16479,,9032,,13744,,,,,,2791,,2490,,,,34,,,,186,,,,2812,,,,,,,,,,,,,,,,,,,,,,,,129,,,,,,,,,,,,,,12538,,15569,,,,1334,,1163,,1771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"Braunschweig",4,189975,,189975,,139948,,139948,,1736,,1535,,138212,,138413,,53572,,39774,,47584,,40135,,7507,,15845,,12012,,19831,,,,,,1310,,1324,,118,,77,,,,134,,4214,,4962,,,,,,,,,,800,,,,294,,,,,,,,,,,,,,184,,,,,,,,,,,,,,10801,,13763,,,,1114,,,,1270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"Helmstedt - Wolfsburg",4,187831,,187831,,135261,,135261,,2196,,1790,,133065,,133471,,46064,,42391,,52427,,45319,,8480,,14114,,10692,,11801,,,,,,3023,,2606,,,,46,,,,101,,,,2905,,,,,,,,,,,,,,,,,,,,,,,,112,,,,,,,,,,,,,,10216,,11309,,,,1176,,1748,,1591,,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"Goslar - Northeim - Osterode",4,214330,,214330,,156221,,156221,,2638,,2047,,153583,,154174,,60107,,50912,,54451,,46256,,12719,,21481,,9624,,12983,,,,,,2599,,2352,,,,27,,,,131,,,,2787,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,,,,,14083,,14988,,,,1247,,,,866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"Göttingen",4,224468,,224468,,166515,,166515,,2227,,1908,,164288,,164607,,60483,,48788,,56503,,47343,,10765,,22086,,21360,,23708,,,,,,2323,,2072,,,,58,,,,115,,,,3707,,,,,,,,,,361,,,,,,,,,,,,,,195,,,,,,,,,,,,,,12493,,14635,,,,1176,,,,724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Niedersachsen",99

55,"Bremen I",5,256131,,256131,,188189,,188189,,2557,,2099,,185632,,186090,,62588,,52387,,53255,,46284,,13587,,21021,,31564,,32556,,21226,,24883,,2012,,1567,,343,,133,,,,373,,,,4564,,,,,,,,,,709,,,,348,,,,,,,,,,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,1617,,,,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"Bremen II - Bremerhaven",5,231847,,231847,,154838,,154838,,2691,,2317,,152147,,152521,,58879,,50032,,39186,,34680,,10850,,14947,,16985,,19727,,21647,,23486,,2614,,2045,,,,83,,,,657,,,,3610,,,,,,,,,,423,,,,,,,,,,330,,,,,,,,,,,,,,,,,,,,,,,,,,1563,,2527,,,,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Bremen",99

57,"Prignitz - Ostprignitz-Ruppin - Havelland I",6,171705,,171705,,108017,,108017,,3477,,3020,,104540,,104997,,33532,,29446,,22851,,24913,,8162,,9068,,,,,,32198,,30550,,3314,,2494,,,,84,,,,875,,,,1829,,,,,,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,153,,,,,,,,,,,,,,,,,,4483,,4587,,,,828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"Uckermark - Barnim I",6,169284,,169284,,105814,,105814,,3330,,3010,,102484,,102804,,27674,,26761,,26512,,24524,,6396,,7907,,,,,,32791,,31833,,3945,,3139,,,,106,,,,745,,,,1960,,,,,,,,,,781,,,,,,,,,,191,,,,,,,,,,,,,,,,189,,,,,,,,,,,,,,,,,,4385,,4762,,,,687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"Oberhavel - Havelland II",6,249983,,249983,,171514,,171514,,4907,,4179,,166607,,167335,,48621,,42959,,46088,,41575,,12963,,19163,,,,,,40334,,38980,,5400,,4153,,,,181,,,,1305,,,,3891,,,,,,,,,,1008,,,,,,,,,,478,,,,,,,,,,,,,,,,377,,,,,,,,,,,,,,,,,,12193,,12974,,,,1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"Märkisch-Oderland - Barnim II",6,255165,,255165,,173707,,173707,,4669,,4415,,169038,,169292,,38441,,36544,,39863,,36583,,11115,,15311,,,,,,62523,,56938,,6069,,4365,,,,209,,,,2140,,,,4515,,,,,,,,,,2280,,,,566,,,,,,,,,,419,,,,,,,,,,,,,,,,327,,,,,,,,,,,,,,,,,,8181,,10211,,,,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"Brandenburg an der Havel - Potsdam-Mittelmark I - Havelland III - Teltow-Fläming I",6,199083,,199083,,128273,,128273,,3598,,3708,,124675,,124565,,40957,,34451,,30733,,29834,,7328,,9992,,,,,,35484,,35643,,3764,,3013,,,,151,,,,1163,,,,3093,,,,,,,,,,862,,,,776,,,,,,,,,,172,,,,,,,,,,,,,,,,199,,,,,,,,,,,,,,,,,,4771,,6047,,,,807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"Potsdam - Potsdam-Mittelmark II - Teltow-Fläming II",6,239221,,239221,,174226,,174226,,4387,,3560,,169839,,170666,,48720,,44450,,40708,,36600,,12356,,17986,,,,,,48515,,43354,,3061,,2129,,,,202,,,,939,,,,5171,,,,,,,,,,,,,,,,,,,,269,,,,,,,,,,,,,,,,345,,,,,,,,,,,,,,,,,,16479,,18279,,,,942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"Dahme-Spreewald - Teltow-Fläming III - Oberspreewald-Lausitz I",6,246651,,246651,,170204,,170204,,5598,,4739,,164606,,165465,,53384,,42834,,40882,,39092,,11959,,16102,,,,,,43348,,44923,,5992,,4711,,,,162,,,,1255,,,,4357,,,,,,,,,,,,,,,,,,,,368,,,,,,,,,,,,,,,,397,,,,,,,,,,,,,,,,,,9041,,9912,,,,1352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"Frankfurt (Oder) - Oder-Spree",6,208525,,208525,,139228,,139228,,4461,,3597,,134767,,135631,,38470,,32750,,30153,,30506,,10125,,12018,,,,,,43589,,42581,,4928,,3788,,,,210,,,,1052,,,,3385,,,,,,,,,,,,,,,,,,,,395,,,,,,,,,,,,,,,,374,,,,,,,,,,,,,,,,,,7502,,7464,,,,1108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"Cottbus - Spree-Neiße",6,196389,,196389,,128179,,128179,,4218,,3530,,123961,,124649,,34529,,29999,,29829,,30360,,10878,,11230,,,,,,37224,,36561,,4806,,3765,,,,179,,,,1169,,,,3636,,,,,,,,,,1045,,,,,,,,,,344,,,,,,,,,,,,,,,,258,,,,,,,,,,,,,,,,,,5650,,6093,,,,1055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"Elbe-Elster - Oberspreewald-Lausitz II",6,192709,,192709,,126140,,126140,,4692,,3992,,121448,,122148,,32688,,28022,,35073,,33467,,8487,,10865,,,,,,34324,,34203,,5513,,3839,,,,137,,,,2399,,,,2995,,,,,,,,,,587,,,,,,,,,,278,,,,,,,,,,,,,,,,270,,,,,,,,,,,,,,,,,,3861,,4238,,,,1435,,915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Brandenburg",99

67,"Altmark",7,182677,,182677,,112980,,112980,,2552,,2742,,110428,,110238,,22070,,19516,,34501,,33330,,6558,,9725,,3725,,5212,,36910,,37034,,2461,,2318,,,,232,,,,449,,,,2422,,,,,,,,,,3672,,,,257,,,,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"Börde - Jerichower Land",7,239481,,239481,,146265,,146265,,3411,,3224,,142854,,143041,,31994,,25606,,46686,,45060,,13914,,15368,,5041,,6081,,41040,,43781,,3446,,3033,,,,331,,,,461,,,,3320,,,,,,,,,,733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"Harz",7,236946,,236946,,144340,,144340,,3135,,2699,,141205,,141641,,28732,,24320,,46632,,44402,,10236,,13274,,7791,,7141,,43952,,45676,,3862,,3277,,,,309,,,,345,,,,2897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"Magdeburg",7,254287,,254287,,152948,,152948,,2932,,2582,,150016,,150366,,32844,,28217,,46481,,42150,,9890,,13801,,8637,,10281,,48069,,48333,,2618,,2275,,626,,410,,,,294,,,,4605,,,,,,,,,,851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"Dessau - Wittenberg",7,197289,,197289,,122932,,122932,,2348,,2120,,120584,,120812,,22187,,19739,,43424,,38247,,8810,,12614,,5004,,6131,,36809,,37709,,2928,,2627,,544,,317,,,,428,,,,3000,,,,,,,,,,878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"Anhalt",7,248457,,248457,,143128,,143128,,3442,,3285,,139686,,139843,,30401,,23225,,43722,,42696,,10929,,14764,,4878,,5221,,44087,,46628,,3649,,3315,,888,,483,,,,445,,,,3066,,,,,,,,,,1132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"Halle",7,223268,,223268,,139785,,139785,,2462,,2185,,137323,,137600,,22341,,21684,,42430,,37004,,11760,,15974,,11056,,11950,,46272,,43617,,2483,,2234,,981,,511,,,,320,,,,4306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"Burgenland - Saalekreis",7,214081,,214081,,127503,,127503,,2535,,2474,,124968,,125029,,23592,,19513,,41281,,39777,,11224,,14153,,3950,,4740,,39610,,39876,,4399,,3792,,,,257,,,,380,,,,2541,,,,,,,,,,912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"Mansfeld",7,232086,,232086,,136840,,136840,,3127,,2738,,133713,,134102,,23028,,21030,,43014,,39645,,10818,,14574,,5465,,4977,,47051,,46802,,4337,,3713,,,,331,,,,407,,,,2623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Sachsen-Anhalt",99

76,"Berlin-Mitte",8,197252,,197252,,133355,,133355,,2749,,2340,,130606,,131015,,33943,,27780,,28760,,24854,,8869,,13590,,28108,,28880,,24871,,25216,,2110,,1530,,,,107,,,,129,,,,5450,,,,,,,,,,2301,,,,693,,,,,,527,,,,519,,,,245,,,,,,,,,,951,,329,,,,,,,,1576,,,,,,,,,,,,,,,,,,,,,,,,116,,,,167,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"Berlin-Pankow",8,232250,,232250,,166099,,166099,,2836,,2350,,163263,,163749,,44769,,29850,,28374,,28163,,9604,,13626,,26674,,32401,,47070,,45099,,3702,,3007,,,,104,,,,241,,,,6767,,,,,,,,,,1396,,,,584,,,,,,559,,,,486,,,,351,,,,,,,,,,1090,,457,,,,,,,,2225,,,,,,,,,,,,,,,,,,,,,,,,178,,,,235,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"Berlin-Reinickendorf",8,183112,,183112,,132532,,132532,,3039,,2666,,129493,,129866,,35540,,27842,,50554,,42771,,13711,,20580,,13875,,17577,,10525,,12060,,2613,,2074,,,,30,,,,165,,,,2979,,,,,,,,,,1267,,,,529,,,,,,340,,,,772,,,,246,,,,,,,,,,879,,372,,,,,,,,1946,,,,,,,,,,,,,,,,,,,,,,,,76,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"Berlin-Spandau - Charlottenburg Nord",8,184436,,184436,,126799,,126799,,3098,,2821,,123701,,123978,,41051,,29109,,44994,,37170,,10612,,18277,,10853,,16451,,11446,,13611,,2463,,1982,,285,,96,,,,184,,,,3173,,,,,,,,,,752,,,,,,371,,,,618,,,,226,,,,,,,,,,1245,,560,,,,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,87,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"Berlin-Steglitz - Zehlendorf",8,217335,,217335,,172795,,172795,,2610,,2188,,170185,,170607,,45691,,34488,,66075,,53085,,15138,,28876,,27392,,33004,,9325,,12270,,1544,,1309,,,,34,,,,137,,,,3739,,,,,,,,,,830,,,,1437,,,,875,,623,,,,472,,,,312,,,,,,,,,,462,,283,,,,,,,,1860,,,,,,,,,,,,,,,,,,,,,,,,79,,,,36,,1416,,,,,,,,,,,,,,,,,,,,,,,,
81,"Berlin-Charlottenburg - Wilmersdorf",8,195857,,195857,,150356,,150356,,2623,,1971,,147733,,148385,,47340,,31719,,44549,,39331,,16397,,24313,,26778,,32724,,9978,,12868,,1187,,893,,,,34,,,,88,,,,3564,,,,,,,,,,331,,,,261,,,,,,465,,,,262,,,,243,,,,,,,,,,912,,265,,,,,,,,1518,,,,,,,,,,,,,,,,,,,,,,,,53,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"Berlin-Tempelhof - Schöneberg",8,232759,,232759,,172928,,172928,,3533,,3001,,169395,,169927,,38244,,36351,,54971,,45372,,13292,,23407,,44506,,36630,,13787,,16995,,2413,,1891,,,,72,,,,192,,,,4619,,,,,,,,,,854,,,,,,598,,,,545,,,,335,,,,,,,,,,1328,,463,,,,,,,,2270,,,,,,,,,,,,,,,,,,,,,,,,86,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"Berlin-Neukölln",8,197444,,197444,,132613,,132613,,3915,,3357,,128698,,129256,,35168,,27639,,39618,,33469,,11468,,16486,,18805,,22698,,15852,,17986,,3356,,2554,,218,,108,,,,158,,,,4339,,,,,,,,,,1305,,,,316,,,,388,,,,1924,,,,,,394,,,,611,,,,261,,,,,,,,,,,,209,,,,,,,,2066,,,,,,,,,,,,,,,,,,,,,,,,128,,280,,150,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"Berlin-Friedrichshain - Kreuzberg - Prenzlauer Berg Ost",8,222647,,222647,,160861,,160861,,2572,,2419,,158289,,158442,,26415,,32015,,18394,,18788,,6425,,9693,,73897,,43347,,27796,,39641,,1791,,1436,,,,130,,,,118,,,,9473,,,,,,,,,,1555,,,,217,,,,918,,,,232,,,,,,727,,,,284,,,,306,,,,,,,,,,,,166,,,,,,,,1793,,,,,,,,,,,,,,,,,,,,,,,,171,,649,,354,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"Berlin-Treptow - Köpenick",8,200391,,200391,,142838,,142838,,2326,,2083,,140512,,140755,,25520,,27765,,29124,,25955,,6247,,11261,,10495,,15486,,62880,,47438,,4092,,3688,,398,,168,,,,234,,,,4713,,,,,,,,,,625,,,,,,367,,,,443,,,,281,,,,,,,,,,1131,,513,,,,,,,,2106,,,,,,,,,,,,,,,,,,,,,,,,132,,,,205,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"Berlin-Marzahn - Hellersdorf",8,203416,,203416,,128897,,128897,,2496,,2224,,126401,,126673,,20336,,20906,,24563,,22875,,6969,,9741,,7242,,8847,,60236,,51662,,4725,,3832,,,,127,,,,356,,,,4274,,,,,,,,,,766,,,,,,249,,,,456,,,,189,,,,,,,,,,1564,,579,,,,,,,,2189,,,,,,,,,,,,,,,,,,,,,,,,156,,,,235,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"Berlin-Lichtenberg",8,204766,,204766,,132766,,132766,,2283,,2014,,130483,,130752,,24028,,22618,,22566,,21347,,5048,,8666,,9652,,11490,,61874,,53815,,4492,,3603,,,,101,,,,273,,,,4972,,,,,,,,,,1439,,,,,,272,,,,453,,,,225,,,,,,,,,,1384,,513,,,,,,,,1960,,,,,,,,,,,,,,,,,,,,,,,,158,,,,286,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Berlin",99

88,"Aachen",9,176885,,176885,,130211,,130211,,1582,,1194,,128629,,129017,,38523,,28937,,50703,,41146,,11554,,19464,,17241,,20765,,9520,,10911,,1088,,789,,,,34,,,,54,,,,4837,,,,314,,,,62,,,,,,,,,,,,221,,,,149,,,,,,,,,,,,32,,,,,,,,672,,,,149,,,,,,,,,,,,,,,,,,,,9,,,,,,,,385,,,,87,,,,,,,,,,,,,,,,,,
89,"Kreis Aachen",9,228546,,228546,,160816,,160816,,2766,,2296,,158050,,158520,,54205,,45981,,63511,,53062,,13275,,23518,,11056,,12491,,13502,,14926,,2501,,1767,,,,19,,,,114,,,,2764,,,,597,,,,70,,,,,,,,,,,,820,,,,81,,,,,,,,,,,,29,,,,,,,,1107,,,,239,,,,,,,,,,,,,,,,,,,,18,,,,,,,,792,,,,125,,,,,,,,,,,,,,,,,,
