Nr,Gebiet,gehört,Wahlberechtigte,,,,Wähler,,,,Ungültige,,,,Gültige,,,,SPD,,,,CDU,,,,FDP,,,,GRÜNE,,,,DIE LINKE,,,,NPD,,,,MLPD,,,,DVU,,,,PIRATEN,,,,RENTNER,,,,ZENTRUM,,,,PARTEILOS,,,,DIE VIOLETTEN,,,,REP,,,,ödp,,,,GRÜNE/GAL,,,,ödp Hamburg,,,,BüSo,,,,DIE LINKE.,,,,Die Tierschutzpartei,,,,RRP,,,,PBC,,,,GRÜNE/B90,,,,FWD,,,,Freie Union,,,,PSG,,,,DKP,,,,FAMILIE,,,,Volksabstimmung,,,,ADM,,,,CSU,,,,BP,,,,CM,,,,
,,zu,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,Erststimmen,,Zweitstimmen,,
,,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,Endgültig,,1,"Flensburg - Schleswig",1,225216,,225216,,163329,,163329,,4117,,4181,,159212,,159148,,52139,,41793,,61793,,51068,,15292,,24187,,16399,,21967,,11918,,13481,,1302,,1240,,,,47,,,,159,,,,3385,,,,1821,,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Herzogtum Lauenburg - Stormarn-Süd",1,237144,,237144,,181568,,181568,,3884,,3259,,177684,,178309,,53073,,45354,,70874,,59075,,19742,,30714,,18761,,22240,,12351,,13855,,2330,,2126,,,,48,,,,204,,,,3248,,,,1445,,,,,,,,,,553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Lübeck",1,180424,,180424,,124624,,124624,,3524,,3284,,121100,,121340,,44393,,36578,,36745,,32970,,13296,,17173,,14098,,16764,,10973,,12002,,1595,,1412,,,,90,,,,144,,,,3010,,,,1197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Schleswig-Holstein",99

12,"Wismar - Nordwestmecklenburg - Parchim",2,216789,,216789,,136923,,136923,,2448,,2114,,134475,,134809,,27590,,25047,,45383,,44340,,9969,,12865,,6520,,7139,,40419,,38466,,3976,,3766,,,,246,,,,,,,,2745,,,,,,,,,,618,,,,,,,,,,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Schwerin - Ludwigslust",2,183166,,183166,,120292,,120292,,2032,,1728,,118260,,118564,,30247,,24464,,34633,,36653,,9401,,11405,,6353,,6833,,33681,,32623,,3945,,3598,,,,211,,,,,,,,2579,,,,,,,,,,,,,,,,,,,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Rostock",2,198527,,198527,,130659,,130659,,2157,,1911,,128502,,128748,,25389,,23223,,34517,,34759,,8517,,12234,,13727,,10772,,41539,,40045,,3215,,2999,,554,,324,,,,,,,,4215,,,,,,,,,,565,,,,479,,,,,,,,,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Stralsund - Nordvorpommern - Rügen",2,199517,,199517,,119369,,119369,,2063,,2269,,117306,,117100,,14040,,15048,,57865,,43650,,5668,,13087,,3735,,5349,,30935,,33522,,3262,,3434,,,,210,,,,,,,,2564,,,,,,,,,,1322,,,,479,,,,,,,,,,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"Greifswald - Demmin - Ostvorpommern",2,204944,,204944,,123824,,123824,,2460,,2324,,121364,,121500,,15995,,14941,,46147,,44679,,10414,,12686,,5736,,6241,,35385,,34198,,5552,,5274,,,,212,,,,,,,,2968,,,,,,,,,,1478,,,,657,,,,,,,,,,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Bad Doberan - Güstrow - Müritz",2,211429,,211429,,132878,,132878,,2616,,2326,,130262,,130552,,28457,,22778,,45176,,44654,,9485,,13038,,6255,,6762,,35601,,36412,,4118,,3869,,,,277,,,,,,,,2525,,,,,,,,,,647,,,,,,,,,,237,,523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
