"Vorname";"Nachname";"Jahrgang";"Partei";"Wahlkreis";"Bundesland";"Listenplatz";
"Knut";"Bänsch";1961;"PIRATEN";;"Hessen";8;
"Dorothee";"Bär";1978;"CSU";248;"Bayern";7;
"Karl";"Bär";1985;"GRÜNE";224;"Bayern";12;
"Peter";"Baer";1934;;292;;;
"Annalena";"Baerbock";1980;"GRÜNE";64;"Brandenburg";3;
"Sabine";"Bätzing";1975;"SPD";198;"Rheinland-Pfalz";6;
"Peter";"Bäuerle";1951;"MLPD";260;"Baden-Württemberg";7;
"Werner";"Bäumler";1952;"DIE LINKE";226;;;
"Daniel";"Bahr";1976;"FDP";130;"Nordrhein-Westfalen";8;
"Gabriele";"Bailey";1958;"GRÜNE";112;;;
"Dieter";"Balck";1941;"RENTNER";;"Hamburg";1;
"Torsten";"Balg";1971;"ödp";;"Rheinland-Pfalz";17;
"Dr. jur. Michael";"Balke";1954;;144;;;
"Peter Manfred";"Balnat";1956;"NPD";;"Bremen";3;
"Regina Hildegard Käthe";"Balzer";1949;"MLPD";;"Sachsen";7;
"Gero Heinrich";"Bangerter";1983;"FDP";145;"Nordrhein-Westfalen";30;
"Stefan";"Bannert";1966;"DIE LINKE";248;"Bayern";18;
"Ulrich Gustav";"Bannert";1950;"REP";;"Bayern";25;
"Robin";"Baranski";1977;"SPD";;"Nordrhein-Westfalen";72;
"Heinz-Joachim";"Barchmann";1950;"SPD";52;"Niedersachsen";11;
"Thomas";"Bareiß";1975;"CDU";295;;;
"Rudolf Walter";"Bargmann";1976;"DVU";;"Bremen";1;
"Doris";"Barnett";1953;"SPD";208;"Rheinland-Pfalz";3;
"Daniel Lutz";"Barta";1954;"FDP";;"Hamburg";7;
"Dr. Hans Peter";"Bartels";1961;"SPD";5;"Schleswig-Holstein";6;
"Christian";"Bartelt";1976;"FDP";16;"Mecklenburg-Vorpommern";4;
"Cornelia";"Barth";1958;"DIE LINKE";;"Bremen";7;
"Edith";"Barth";1935;"SPD";;"Saarland";29;
"Steven";"Barth";1988;"PIRATEN";;"Sachsen-Anhalt";2;
"Volker";"Barth";1962;"CDU";;"Baden-Württemberg";30;
"Klaus";"Barthel";1955;"SPD";224;"Bayern";5;
"Norbert";"Barthle";1952;"CDU";269;;;
"Uwe";"Bartholomäus";1972;"DVU";;"Hamburg";3;
"Anna";"Bartholomé";1949;"MLPD";;"Rheinland-Pfalz";3;
"Sören";"Bartol";1974;"SPD";172;;;
"Dr. Dietmar";"Bartsch";1958;"DIE LINKE";13;"Mecklenburg-Vorpommern";1;
"Bärbel";"Bas";1968;"SPD";116;"Nordrhein-Westfalen";35;
"Lothar";"Baseler";1935;"NPD";22;"Hamburg";3;
"Michael";"Bathon";1961;"CDU";;"Hessen";37;
"Annegret";"Bauch";1958;"CDU";;"Hessen";39;
"Matthias";"Bauch";1979;"BP";;"Bayern";8;
"Anneliese";"Bauer";1924;"Volksabst.";;"Baden-Württemberg";8;
"Emil";"Bauer";1953;"MLPD";252;"Bayern";4;
"Erich";"Bauer";1954;"FDP";234;"Bayern";53;
"Sebastian-Michael";"Bauer";1987;"PIRATEN";;"Baden-Württemberg";3;
"Andreas";"Baum";1978;"PIRATEN";;"Berlin";3;
"Erika";"Baum";1925;"DKP";;"Berlin";4;
"Helmut Günter";"Baumann";1947;"CDU";165;;;
"Dr. Albert";"Baumgärtner";1955;"NPD";279;;;
"Alfons";"Baumgartner";1944;"BP";;"Bayern";9;
"Roman";"Baumgartner";1982;"CDU";;"Baden-Württemberg";21;
"Jens";"Baur";1979;"NPD";161;;;
"Yusuf";"Bayrak";1963;;83;;;
"Dr. Arthur";"Bechert";1964;"CSU";;"Bayern";55;
"Birgit";"Beciri";1962;"Tierschutz";;"Hessen";8;
"Ernst-Reinhard";"Beck";1945;"CDU";289;;;
"Jürgen";"Beck";1955;;86;;;
"Marieluise";"Beck";1952;"GRÜNE";55;"Bremen";1;
"Stefanie";"Beck";1970;"DIE LINKE";209;"Rheinland-Pfalz";5;
"Tobias";"Beck";1985;"FDP";;"Rheinland-Pfalz";16;
"Volker";"Beck";1960;"GRÜNE";95;"Nordrhein-Westfalen";2;
"Claudia";"Beck geb. Krauß";1973;"GRÜNE";297;;;
"Alexander";"Becker";1982;"CDU";;"Rheinland-Pfalz";39;
"Bernd";"Becker";1958;"SPD";;"Rheinland-Pfalz";31;
"Burkhard";"Becker";1954;"NPD";137;;;
"Dirk";"Becker";1966;"SPD";136;"Nordrhein-Westfalen";33;
"Kurt";"Becker";1953;"SPD";;"Rheinland-Pfalz";28;
"Christa Lydia";"Becker-Lettow";1959;"SPD";;"Nordrhein-Westfalen";66;
"Bert";"Beckmann";1958;"MLPD";;"Mecklenburg-Vorpommern";4;
"Uwe Karl";"Beckmeyer";1949;"SPD";56;"Bremen";1;
"Jochen Heiner";"Beekhuis";1977;"SPD";;"Niedersachsen";42;
"Maximilian";"Beer";1966;"CSU";;"Bayern";54;
"Kirsten";"Beetz";1961;"CDU";;"Rheinland-Pfalz";36;
"Peter";"Befeldt";1955;"SPD";;"Niedersachsen";32;
"Jörg";"Behlen";1968;"FDP";172;"Hessen";17;
"Cornelia";"Behm";1951;"GRÜNE";62;"Brandenburg";1;
"Martin";"Behnke";1954;"DIE LINKE";106;;;
"Hans-Peter";"Behrens";1961;"GRÜNE";273;;;
"Heidemarie Elisabeth";"Behrens";1954;"DIE LINKE";;"Bremen";5;
"Herbert";"Behrens";1954;"DIE LINKE";35;"Niedersachsen";6;
"Manfred";"Behrens";1956;"CDU";68;"Sachsen-Anhalt";8;
"Matthias";"Behrens";1972;"NPD";36;"Niedersachsen";2;
"Andreas";"Beier";1971;;291;;;
"Dr. Guido";"Beier";1967;"FDP";60;"Brandenburg";3;
"Klaus";"Beier";1966;"NPD";64;"Brandenburg";1;
"Mirko";"Beier";1975;"NPD";152;"Sachsen";6;
"Veronika Maria";"Bellmann";1960;"CDU";162;"Sachsen";7;
"Michael";"Belzner";1948;"REP";;"Baden-Württemberg";8;
"Birgitt";"Bender";1956;"GRÜNE";259;"Baden-Württemberg";7;
"Mario";"Bender";1966;"DIE LINKE";;"Saarland";4;
"Anneliese";"Bendigkeit";1943;"CDU";;"Baden-Württemberg";26;
"Edgar";"Benedetto Di";1958;"DIE LINKE";29;"Niedersachsen";32;
"Klaus Uwe";"Benneter";1947;"SPD";80;"Berlin";5;
"Felix";"Bensmann";1985;"FDP";;"Niedersachsen";28;
"Konrad";"Bentz";1920;"NPD";170;;;
"Josef";"Benz";1953;"FDP";273;"Baden-Württemberg";28;
"Karl Hans August";"Benz";1938;"RRP";;"Bayern";9;
"Markus";"Benz";1955;"VIOLETTEN";281;"Baden-Württemberg";1;
"Patrick";"Berberich";1979;"CDU";;"Rheinland-Pfalz";29;
"Miro";"Berbig";1964;"DIE LINKE";8;;;
"Dr. Axel";"Berg";1959;"SPD";218;"Bayern";17;
"Ute";"Berg";1953;"SPD";138;"Nordrhein-Westfalen";17;
"Lars";"Bergen";1975;"CSU";;"Bayern";63;
"Cornelia";"Berger";1956;"NPD";76;;;
"Frank";"Berger";1976;"FDP";255;"Bayern";52;
"Milan";"Berger";1978;"PIRATEN";245;;;
"Dr. Dr. Wolfgang Georg Justus";"Berger";1941;;212;;;
"Volker";"Bergler";1968;"BP";;"Bayern";13;
"Jutta";"Bergmoser";1961;"GRÜNE";128;"Nordrhein-Westfalen";27;
"Dr. Christoph";"Bergner";1948;"CDU";73;"Sachsen-Anhalt";1;
"Christian";"Berisha";1967;"NPD";38;;;
"Jutta";"Berlinghof";1961;"GRÜNE";246;"Bayern";19;
"Christopher";"Bernd";1986;"PBC";;"Rheinland-Pfalz";6;
"Wolfgang Herbert Josef";"Berndt";1949;"DIE LINKE";232;;;
"Marc";"Bernhard";1972;"CDU";;"Baden-Württemberg";9;
"Martin";"Bernmeiser";1952;"VIOLETTEN";;"Bayern";16;
"Wolfgang";"Berns";1948;"FDP";173;"Hessen";10;
"Florian";"Bernschneider";1986;"FDP";51;"Niedersachsen";7;
"Jürgen Heinrich";"Bernsen";1963;;77;;;
"Patrick";"Bernstein";1973;"NPD";221;;;
"Ute";"Bertram";1961;"CDU";;"Niedersachsen";49;
"Karl-Heinz";"Besemann";1950;"DVU";;"Niedersachsen";2;
"Harald";"Bestehorn";1962;"NPD";239;;;
"Markus";"Bestgen";1964;"FDP";98;"Nordrhein-Westfalen";27;
"Horst";"Bethge";1935;"DIE LINKE";;"Hamburg";4;
"Cornelia";"Bethke";1966;"SPD";;"Hessen";35;
"Lorenz Gösta";"Beutin";1978;"DIE LINKE";10;;;
"Christian";"Beyer";1974;"SPD";232;"Bayern";27;
"Lars";"Beyer";1969;"NPD";;"Brandenburg";9;
"Peter";"Beyer";1970;"CDU";106;"Nordrhein-Westfalen";53;
"Stephan";"Beyer";1985;;192;;;
"Stephan";"Beyer";1985;"PIRATEN";;"Thüringen";8;
"Bettina";"Bieder";1980;"NPD";81;;;
"Christian";"Bieler";1985;"NPD";198;;;
"KLaus";"Biener";1959;"GRÜNE";;"Mecklenburg-Vorpommern";8;
"Xenia";"Biereichelt";1989;"BüSo";153;"Sachsen";6;
"Arnhild";"Biesenbach";1955;"CDU";;"Niedersachsen";39;
"Hans-Dieter";"Biester";1945;"RENTNER";;"Hamburg";2;
"Michael";"Bihler";1979;"CSU";;"Bayern";48;
"Steffen";"Bilger";1979;"CDU";265;;;
"Rainer";"Biller";1965;"NPD";245;;;
"Karin";"Binder";1957;"DIE LINKE";271;"Baden-Württemberg";3;
"Martin";"Binder";1980;"CDU";;"Rheinland-Pfalz";16;
"Sascha";"Binder";1983;"SPD";263;"Baden-Württemberg";29;
"Lothar";"Binding";1950;"SPD";274;"Baden-Württemberg";14;
"Peter";"Bing";1951;"RENTNER";;"Schleswig-Holstein";2;
"Clemens";"Binninger";1962;"CDU";260;;;
"Katharina";"Birk";1967;"DIE LINKE";;"Baden-Württemberg";19;
"Matthias W.";"Birkwald";1961;"DIE LINKE";95;"Nordrhein-Westfalen";10;
"Florian";"Bischof";1977;"PIRATEN";;"Berlin";1;
"Joachim";"Bischoff";1944;"DIE LINKE";19;;;
"Peter";"Bitsch";1950;"REP";;"Hessen";5;
"Dr. Günther Wolfgang";"Bittel";1953;"MLPD";;"Nordrhein-Westfalen";23;
"Thomas";"Bläsche";1978;"FDP";205;"Rheinland-Pfalz";10;
"Robert";"Bläsing";1982;"FDP";22;"Hamburg";11;
"Kurt Jürgen";"Blank";1970;"NPD";257;;;
"Bernhard";"Blankenheim";1951;"NPD";96;;;
"Bernd";"Blech";1961;"REP";142;;;
"Thomas";"Blechschmidt";1965;;221;;;
"Dr. Wolfgang";"Blender";1955;"FDP";;"Rheinland-Pfalz";26;
"Peter";"Bleser";1952;"CDU";201;"Rheinland-Pfalz";4;
"Stephan";"Bliemel";1978;"SPD";12;"Mecklenburg-Vorpommern";5;
"Prof. Dr. Frank";"Bliss";1956;"GRÜNE";199;;;
"Detlev";"Blitz";1958;"SPD";187;"Hessen";18;
"Günter";"Blocks";1958;"DIE LINKE";126;;;
"Dr. Helmut";"Blöcker";1945;"GRÜNE";51;;;
"Marion Else";"Blohm";1953;"DVU";;"Bremen";3;
"Frank";"Blome";1973;"NPD";41;;;
"Barbara";"Blotenberg";1960;"GRÜNE";144;;;
"Heidrun";"Bluhm";1958;"DIE LINKE";17;"Mecklenburg-Vorpommern";3;
"Claudia";"Blum";1968;"SPD";175;"Hessen";15;
"Klaus";"Blume";1944;"RRP";226;;;
"Sebastian";"Blumenthal";1974;"FDP";5;"Schleswig-Holstein";3;
"Volker";"Blumentritt";1946;"SPD";194;"Thüringen";6;
"Jürgen";"Blumer";1958;"MLPD";117;;;
"Steffen";"Bockhahn";1978;"DIE LINKE";14;;;
"Claudia";"Bögel";1961;"FDP";125;"Nordrhein-Westfalen";17;
"Melanie";"Böger";1971;"DIE LINKE";;"Niedersachsen";9;
"Werner";"Böhler";1964;"SPD";137;"Nordrhein-Westfalen";41;
"Dr. Dorothea";"Böhm";1962;"FAMILIE";;"Nordrhein-Westfalen";2;
"Walter";"Böhm";1959;"NPD";219;;;
"Prof. Dr. Maria";"Böhmer";1950;"CDU";208;"Rheinland-Pfalz";2;
"Helmut";"Böhmler";1952;"MLPD";103;;;
"Georg";"Böhner";1957;"DIE LINKE";237;;;
"Björn Lars";"Böhning";1978;"SPD";84;;;
"Manfred";"Börm";1950;"NPD";45;"Niedersachsen";9;
"Wolfgang";"Börnsen";1942;"CDU";1;"Schleswig-Holstein";4;
"Peter";"Börs";1944;"NPD";57;;;
"Ralph";"Boes";1957;;76;;;
"Jorg";"Böttcher";1958;;48;;;
"Süntje";"Böttcher";1981;"PIRATEN";;"Saarland";8;
"Viktor";"Böttcher";1952;"SPD";;"Hessen";34;
"Dr. Martin";"Böttger";1947;"GRÜNE";166;;;
"Karl-Heinz";"Bok";1951;"ödp";264;"Baden-Württemberg";11;
"Gerd";"Bollmann";1947;"SPD";142;;;
"Alexander";"Bonde";1975;"GRÜNE";283;"Baden-Württemberg";8;
"Keno";"Borde";1982;"SPD";26;"Niedersachsen";28;
"Klaus-Peter";"Borgwardt";1953;"MLPD";;"Baden-Württemberg";1;
"Sonja Angela";"Borgwardt";1951;"MLPD";;"Nordrhein-Westfalen";24;
"Helmut";"Born";1952;"DIE LINKE";107;;;
"Markus";"Born";1982;"NPD";106;;;
"Thomas";"Born";1983;"BüSo";;"Sachsen";10;
"Raimund Frank";"Borrmann";1960;"NPD";15;;;
"Johannes Martin Maria";"Bortlisz-Dickhoff";1957;"GRÜNE";92;;;
"Wolfgang";"Bosbach";1952;"CDU";101;"Nordrhein-Westfalen";7;
"Hans-Joachim";"Bosold";1952;"NPD";175;;;
"Dr. Arnold Klaus Siegmund Georg";"Bosse von";1947;"GRÜNE";15;;;
"Karin";"Bothe";1965;"FDP";;"Rheinland-Pfalz";25;
"Martin";"Bothe";1968;"Tierschutz";;"Niedersachsen";2;
"Reiner";"Bousonville";1961;"GRÜNE";180;;;
"Stefan Alois";"Boxler";1964;"GRÜNE";164;"Sachsen";6;
"Nicole";"Bracht-Bendt";1959;"FDP";37;"Niedersachsen";6;
"Norbert";"Brackmann";1954;"CDU";10;"Schleswig-Holstein";11;
"Klaus Peter";"Brähmig";1957;"CDU";159;"Sachsen";6;
"Rolf";"Bräuer";1955;"GRÜNE";46;;;
"Dr. Lutz";"Bräutigam";1968;"GRÜNE";242;;;
"Matthias Walter Heinrich";"Brand";1961;"FAMILIE";;"Bayern";9;
"Michael";"Brand";1973;"CDU";175;"Hessen";18;
"Sascha";"Brandhoff";1982;"PIRATEN";;"Hessen";6;
"Bernd";"Brandl";1972;"BP";;"Bayern";14;
"Dr. Reinhard";"Brandl";1977;"CSU";217;;;
"Klaus";"Brandner";1949;"SPD";132;"Nordrhein-Westfalen";6;
"Achim";"Brandt";1965;"Volksabst.";;"Baden-Württemberg";4;
"Fridolin";"Brandt";1945;"DIE LINKE";216;;;
"Helmut";"Brandt";1950;"CDU";89;"Nordrhein-Westfalen";29;
"Holger Ernst";"Brandt";1989;;77;;;
"Gerald";"Branghofer";1983;"DVU";;"Nordrhein-Westfalen";3;
"Max Erich";"Branghofer";1945;"DVU";;"Nordrhein-Westfalen";1;
"Willi";"Brase";1951;"SPD";149;"Nordrhein-Westfalen";5;
"Stephen";"Brauer";1970;"FDP";268;"Baden-Württemberg";18;
"Dr. Ralf";"Brauksiepe";1967;"CDU";140;"Nordrhein-Westfalen";10;
"Dr. Bernhard";"Braun";1958;"GRÜNE";208;;;
"Dr. Helge Reinhold";"Braun";1972;"CDU";174;"Hessen";10;
"Petra";"Braun";1957;"MLPD";126;;;
"Volker";"Braun";1970;"NPD";120;;;
"Manfred";"Brauner";1960;"DIE LINKE";39;"Niedersachsen";10;
"von Harald-Ingo";"Bredow";1949;"BP";;"Bayern";47;
"Ulrich Johannes";"Brehme";1966;"ödp";;"Niedersachsen";2;
"Heike";"Brehmer";1962;"CDU";69;"Sachsen-Anhalt";6;
"Manfred Helmut";"Breidbach";1968;"NPD";107;"Nordrhein-Westfalen";4;
"Rolf";"Breidenbach";1955;"FDP";80;"Berlin";11;
"Klaus";"Breil";1945;"FDP";226;"Bayern";13;
"Elke";"Breitenbach";1961;"DIE LINKE";;"Berlin";9;
"Thomas Achim";"Breitenfellner";1982;"CSU";;"Bayern";45;
"Adolf Wilhelm";"Breitmeier";1937;"ADM";186;;;
"Hermann";"Brem";1961;"GRÜNE";221;"Bayern";16;
"Klaus";"Bremer";1952;"MLPD";;"Hessen";4;
"Dr. Gerd";"Brenner";1949;"GRÜNE";110;;;
"Ernst";"Brenning";1952;"CDU";;"Berlin";10;
"Harald";"Bresch";1962;;67;;;
"Frank";"Bresonik";1969;"FAMILIE";;"Nordrhein-Westfalen";11;
"Eveline";"Breyer";1982;"CDU";;"Rheinland-Pfalz";38;
"Dr. Andreas";"Brie";1950;"DIE LINKE";66;;;
"Ralph";"Brinkhaus";1968;"CDU";132;"Nordrhein-Westfalen";45;
"Bernhard";"Brinkmann";1952;"SPD";49;"Niedersachsen";22;
"Rüdiger";"Brocke von";1957;"SPD";;"Schleswig-Holstein";18;
"Benjamin";"Brodnicki";1986;"DVU";;"Bremen";5;
"Bernd";"Brodtrück";1970;"BüSo";;"Sachsen";8;
"Edith";"Brömsen";1959;"VIOLETTEN";;"Bayern";10;
"Dieter Manfred";"Brose";1943;"NPD";61;"Brandenburg";10;
"Martin";"Broziat";1962;"FDP";12;;;
"Andreas";"Brückner";1968;;66;;;
"Rainer";"Brüderle";1945;"FDP";206;"Rheinland-Pfalz";1;
"Norbert";"Brüggemann";1975;"FDP";32;"Niedersachsen";25;
"Regine";"Brüggemann";1956;"DIE LINKE";;"Hamburg";2;
"Klaus-Dieter";"Brügmann";1951;"DIE LINKE";7;;;
"Monika Minna Marie";"Brüning";1951;"CDU";;"Niedersachsen";31;
"Peter Klaus";"Brüsemeister";1966;"DIE LINKE";234;"Bayern";23;
"Wolfgang";"Bruhn";1961;"NPD";99;;;
"Peter Josef";"Brumann";1942;"FAMILIE";;"Nordrhein-Westfalen";10;
"Doris";"Brummer";1960;"CDU";;"Baden-Württemberg";35;
"Sabine";"Brunke-Reubold";1969;"GRÜNE";45;"Niedersachsen";9;
"Angelika";"Brunkhorst";1955;"FDP";29;"Niedersachsen";4;
"Josef";"Brunner";1950;"Freie Union";227;;;
"Dr. Karl Heinz";"Brunner";1953;"SPD";255;"Bayern";41;
"Eckhard Karl Alfred";"Bruns";1944;"RRP";;"Niedersachsen";6;
"Michael";"Bruns";1973;"DIE LINKE";147;"Nordrhein-Westfalen";16;
"Jörg";"Brunschweiger";1979;"VIOLETTEN";;"Bayern";5;
"Rosi";"Brunschweiger";1951;"VIOLETTEN";;"Bayern";12;
"Raffaela";"Bubendorfer";1988;"FDP";213;"Bayern";20;
"Klaus";"Bucher";1968;"FDP";290;"Baden-Württemberg";32;
"Christine";"Buchholz";1971;"DIE LINKE";185;"Hessen";3;
"Conrad";"Buchholz";1982;"FDP";180;"Hessen";18;
"Doris";"Buchholz";1959;"FDP";;"Saarland";6;
"Daniel";"Buchmann";1981;"BüSo";85;"Berlin";2;
"Sven";"Buchmann";1979;;83;;;
"Prof. Dr. Klaus";"Buchner";1941;"ödp";;"Berlin";3;
"Enrico";"Buchs";1976;"FDP";66;;;
"Bettina Dorothee";"Buchta";1960;"MLPD";;"Bremen";4;
"Josef";"Buck";1961;"MLPD";275;;;
"Andreas";"Büchner";1982;"NPD";108;"Nordrhein-Westfalen";12;
"Manfred";"Büddemann";1951;"DIE LINKE";111;;;
"Katharina";"Büdel";1951;"FDP";;"Rheinland-Pfalz";29;
"Tim";"Bühner";1978;"DIE LINKE";;"Nordrhein-Westfalen";22;
"Marco";"Bülow";1971;"SPD";143;"Nordrhein-Westfalen";55;
"Hans-Ulrich";"Bünger";1940;"DIE LINKE";285;;;
"Andreas";"Büschleb";1972;"NPD";44;;;
"Erika-Marika";"Büsing";1964;"SPD";;"Bremen";5;
"Vesna";"Buljevic";1954;"MLPD";;"Nordrhein-Westfalen";8;
"Peter";"Bulke";1939;"REP";;"Baden-Württemberg";12;
"Eva";"Bulling-Schröter";1956;"DIE LINKE";217;"Bayern";2;
"Edelgard";"Bulmahn";1951;"SPD";43;"Niedersachsen";2;
"Andreas";"Bummel";1976;"FDP";184;"Hessen";13;
"Dr. Martina";"Bunge";1951;"DIE LINKE";12;"Mecklenburg-Vorpommern";2;
"Ursula";"Burchardt";1954;"SPD";144;"Nordrhein-Westfalen";27;
"Ernst";"Burgbacher";1949;"FDP";285;"Baden-Württemberg";3;
"Dr. Thomas";"Burger";1970;"SPD";;"Bayern";53;
"Max";"Burger-Heidger";1954;"GRÜNE";285;;;
"Dr. Christian";"Burholt";1972;"CDU";76;"Berlin";8;
"Karin";"Burkart";1950;"GRÜNE";296;"Saarland";2;
"Boris";"Burkert";1961;"GRÜNE";229;;;
"Martin";"Burkert";1964;"SPD";245;"Bayern";13;
"Karl-Heinz";"Burkhardt";1939;"DVU";;"Berlin";2;
"Franz Paul";"Burkowski";1930;"PBC";;"Bremen";4;
"Erich Karl";"Burmeister";1953;"DIE LINKE";122;;;
"Andreas";"Burmester";1978;"SPD";;"Niedersachsen";41;
"Thomas Wolfgang";"Bursian";1959;"FDP";;"Rheinland-Pfalz";24;
"Yani";"Bursukis";1945;"SPD";;"Hessen";28;
"Walter";"Busch-Hübenbecker";1951;"DIE LINKE";186;;;
"Marco";"Buschmann";1977;"FDP";124;"Nordrhein-Westfalen";20;
"Boris-Georg";"Bussche-Haddenhausen Freiherr von dem";1966;"FDP";38;"Niedersachsen";22;
"Windfried";"Bußmann";1951;"RENTNER";;"Nordrhein-Westfalen";3;
"Brigitte";"Butenschön";1949;"MLPD";;"Niedersachsen";7;
"Cajus Julius";"Caesar";1951;"CDU";136;"Nordrhein-Westfalen";20;
"Sylvia";"Canel";1958;"FDP";;"Hamburg";2;
"Immacolata";"Caravetta Glosemeyer";1965;"SPD";;"Niedersachsen";43;
"Hans-Werner";"Carlhoff";1947;"CDU";;"Baden-Württemberg";38;
"Richard Hermann";"Carls";1931;"DVU";;"Niedersachsen";3;
"Christian";"Carstensen";1973;"SPD";22;"Hamburg";5;
"Olaf";"Caspary";1967;"DVU";;"Berlin";3;
"Dr. Lars";"Castellucci";1974;"SPD";277;"Baden-Württemberg";22;
"Nicole";"Cayrol";1980;"SPD";;"Saarland";28;
"Mario";"Christen";1953;"ödp";;"Berlin";1;
