Nachname;Vorname;Partei-Nr;Land-Nr.;Platz;Wahlkreis - Nr.
Beetz;Kirsten;6;11; 36 ;  
Befeldt;Peter;29;9; 32 ;  
Behlen;Jörg;17;7; 17 ;172
Behm;Cornelia;4;4; 1 ;62
Behnke;Martin;13;;;106
Behrens;Hans-Peter;4;;;273
Behrens;Heidemarie Elisabeth;13;5; 5 ;  
Behrens;Herbert;13;9; 6 ;35
Behrens;Manfred;6;14; 8 ;68
Behrens;Matthias;22;9; 2 ;36
Beier;Andreas;;;;291
Beier;Dr. Guido;17;4; 3 ;60
Beier;Klaus;22;4; 1 ;64
Beier;Mirko;22;13; 6 ;152
Bellmann;Veronika Maria;6;13; 7 ;162
Belzner;Michael;14;1; 8 ;  
Bender;Birgitt;4;1; 7 ;259
Bender;Mario;13;12; 4 ;  
Bendigkeit;Anneliese;6;1; 26 ;  
Benedetto Di;Edgar;13;9; 32 ;29
Benneter;Klaus Uwe;29;3; 5 ;80
Bensmann;Felix;17;9; 28 ;  
Bentz;Konrad;22;;;170
Benz;Josef;17;1; 28 ;273
Benz;Karl Hans August;27;2; 9 ;  
Benz;Markus;15;1; 1 ;281
Berberich;Patrick;6;11; 29 ;  
Berbig;Miro;13;;;8
Berg;Dr. Axel;29;2; 17 ;218
Berg;Ute;29;10; 17 ;138
Bergen;Lars;8;2; 63 ;  
Berger;Cornelia;22;;;76
Berger;Dr. Dr. Wolfgang Georg Justus;;;;212
Berger;Frank;17;2; 52 ;255
Berger;Milan;26;;;245
Bergler;Volker;3;2; 13 ;  
Bergmoser;Jutta;4;10; 27 ;128
Bergner;Dr. Christoph;6;14; 1 ;73
Berisha;Christian;22;;;38
Berlinghof;Jutta;4;2; 19 ;246
Bernd;Christopher;24;11; 6 ;  
Berndt;Wolfgang Herbert Josef;13;;;232
Bernhard;Marc;6;1; 9 ;  
Bernmeiser;Martin;15;2; 16 ;  
Berns;Wolfgang;17;7; 10 ;173
Bernschneider;Florian;17;9; 7 ;51
Bernsen;Jürgen Heinrich;;;;77
Bernstein;Patrick;22;;;221
Bertram;Ute;6;9; 49 ;  
Besemann;Karl-Heinz;11;9; 2 ;  
Bestehorn;Harald;22;;;239
Bestgen;Markus;17;10; 27 ;98
Bethge;Horst;13;6; 4 ;  
Bethke;Cornelia;29;7; 35 ;  
Beutin;Lorenz Gösta;13;;;10
Beyer;Christian;29;2; 27 ;232
Beyer;Lars;22;4; 9 ;  
Beyer;Peter;6;10; 53 ;106
Beyer;Stephan;26;16; 8 ;  
Beyer;Stephan;;;;192
Bieder;Bettina;22;;;81
Bieler;Christian;22;;;198
Biener;KLaus;4;8; 8 ;  
Biereichelt;Xenia;5;13; 6 ;153
Biesenbach;Arnhild;6;9; 39 ;  
Biester;Hans-Dieter;28;6; 2 ;  
Bihler;Michael;8;2; 48 ;  
Bilger;Steffen;6;;;265
Biller;Rainer;22;;;245
Binder;Karin;13;1; 3 ;271
Binder;Martin;6;11; 16 ;  
Binder;Sascha;29;1; 29 ;263
Binding;Lothar;29;1; 14 ;274
Bing;Peter;28;15; 2 ;  
Binninger;Clemens;6;;;260
Birk;Katharina;13;1; 19 ;  
Birkwald;Matthias W.;13;10; 10 ;95
Bischof;Florian;26;3; 1 ;  
Bischoff;Joachim;13;;;19
Bitsch;Peter;14;7; 5 ;  
Bittel;Dr. Günther Wolfgang;20;10; 23 ;  
Blank;Kurt Jürgen;22;;;257
Blankenheim;Bernhard;22;;;96
Bläsche;Thomas;17;11; 10 ;205
Bläsing;Robert;17;6; 11 ;22
Blech;Bernd;14;;;142
Blechschmidt;Thomas;;;;221
Blender;Dr. Wolfgang;17;11; 26 ;  
Bleser;Peter;6;11; 4 ;201
Bliemel;Stephan;29;8; 5 ;12
Bliss;Prof. Dr. Frank;4;;;199
Blitz;Detlev;29;7; 18 ;187
Blöcker;Dr. Helmut;4;;;51
Blocks;Günter;13;;;126
Blohm;Marion Else;11;5; 3 ;  
Blome;Frank;22;;;41
Blotenberg;Barbara;4;;;144
Bluhm;Heidrun;13;8; 3 ;17
Blum;Claudia;29;7; 15 ;175
Blume;Klaus;27;;;226
Blumenthal;Sebastian;17;15; 3 ;5
Blumentritt;Volker;29;16; 6 ;194
Blumer;Jürgen;20;;;117
Bockhahn;Steffen;13;;;14
Boes;Ralph;;;;76
Bögel;Claudia;17;10; 17 ;125
Böger;Melanie;13;9; 9 ;  
Böhler;Werner;29;10; 41 ;137
Böhm;Dr. Dorothea;16;10; 2 ;  
Böhm;Walter;22;;;219
Böhmer;Prof. Dr. Maria;6;11; 2 ;208
Böhmler;Helmut;20;;;103
Böhner;Georg;13;;;237
Böhning;Björn Lars;29;;;84
Bok;Karl-Heinz;23;1; 11 ;264
Bollmann;Gerd;29;;;142
Bonde;Alexander;4;1; 8 ;283
Borde;Keno;29;9; 28 ;26
Borgwardt;Klaus-Peter;20;1; 1 ;  
Borgwardt;Sonja Angela;20;10; 24 ;  
Börm;Manfred;22;9; 9 ;45
Born;Helmut;13;;;107
Born;Markus;22;;;106
Born;Thomas;5;13; 10 ;  
Börnsen;Wolfgang;6;15; 4 ;1
Borrmann;Raimund Frank;22;;;15
Börs;Peter;22;;;57
Bortlisz-Dickhoff;Johannes Martin Maria;4;;;92
Bosbach;Wolfgang;6;10; 7 ;101
Bosold;Hans-Joachim;22;;;175
Bosse von;Dr. Arnold Klaus Siegmund Georg;4;;;15
Bothe;Karin;17;11; 25 ;  
Bothe;Martin;21;9; 2 ;  
Böttcher;Jorg;;;;48
Böttcher;Süntje;26;12; 8 ;  
Böttcher;Viktor;29;7; 34 ;  
Böttger;Dr. Martin;4;;;166
Bousonville;Reiner;4;;;180
Boxler;Stefan Alois;4;13; 6 ;164
Bracht-Bendt;Nicole;17;9; 6 ;37
Brackmann;Norbert;6;15; 11 ;10
Brähmig;Klaus Peter;6;13; 6 ;159
Brand;Matthias Walter Heinrich;16;2; 9 ;  
Brand;Michael;6;7; 18 ;175
Brandhoff;Sascha;26;7; 6 ;  
Brandl;Bernd;3;2; 14 ;  
Brandl;Dr. Reinhard;8;;;217
Brandner;Klaus;29;10; 6 ;132
Brandt;Achim;1;1; 4 ;  
Brandt;Fridolin;13;;;216
Brandt;Helmut;6;10; 29 ;89
Brandt;Holger Ernst;;;;77
Branghofer;Gerald;11;10; 3 ;  
Branghofer;Max Erich;11;10; 1 ;  
Brase;Willi;29;10; 5 ;149
Brauer;Stephen;17;1; 18 ;268
Bräuer;Rolf;4;;;46
Brauksiepe;Dr. Ralf;6;10; 10 ;140
Braun;Dr. Bernhard;4;;;208
Braun;Dr. Helge Reinhold;6;7; 10 ;174
Braun;Petra;20;;;126
Braun;Volker;22;;;120
Brauner;Manfred;13;9; 10 ;39
Bräutigam;Dr. Lutz;4;;;242
Bredow;von Harald-Ingo;3;2; 47 ;  
Brehme;Ulrich Johannes;23;9; 2 ;  
Brehmer;Heike;6;14; 6 ;69
Breidbach;Manfred Helmut;22;10; 4 ;107
Breidenbach;Rolf;17;3; 11 ;80
Breil;Klaus;17;2; 13 ;226
Breitenbach;Elke;13;3; 9 ;  
Breitenfellner;Thomas Achim;8;2; 45 ;  
Breitmeier;Adolf Wilhelm;2;;;186
Brem;Hermann;4;2; 16 ;221
Bremer;Klaus;20;7; 4 ;  
Brenner;Dr. Gerd;4;;;110
Brenning;Ernst;6;3; 10 ;  
Bresch;Harald;;;;67
Bresonik;Frank;16;10; 11 ;  
Breyer;Eveline;6;11; 38 ;  
Brie;Dr. Andreas;13;;;66
Brinkhaus;Ralph;6;10; 45 ;132
Brinkmann;Bernhard;29;9; 22 ;49
Brocke von;Rüdiger;29;15; 18 ;  
Brodnicki;Benjamin;11;5; 5 ;  
Brodtrück;Bernd;5;13; 8 ;  
Brömsen;Edith;15;2; 10 ;  
Brose;Dieter Manfred;22;4; 10 ;61
Broziat;Martin;17;;;12
Brückner;Andreas;;;;66
Brüderle;Rainer;17;11; 1 ;206
Brüggemann;Norbert;17;9; 25 ;32
Brüggemann;Regine;13;6; 2 ;  
Brügmann;Klaus-Dieter;13;;;7
Bruhn;Wolfgang;22;;;99
Brumann;Peter Josef;16;10; 10 ;  
Brummer;Doris;6;1; 35 ;  
Brüning;Monika Minna Marie;6;9; 31 ;  
Brunke-Reubold;Sabine;4;9; 9 ;45
Brunkhorst;Angelika;17;9; 4 ;29
Brunner;Dr. Karl Heinz;29;2; 41 ;255
Brunner;Josef;18;;;227
Bruns;Eckhard Karl Alfred;27;9; 6 ;  
Bruns;Michael;13;10; 16 ;147
Brunschweiger;Jörg;15;2; 5 ;  
Brunschweiger;Rosi;15;2; 12 ;  
Brüsemeister;Peter Klaus;13;2; 23 ;234
Bubendorfer;Raffaela;17;2; 20 ;213
Bucher;Klaus;17;1; 32 ;290
Buchholz;Christine;13;7; 3 ;185
Buchholz;Conrad;17;7; 18 ;180
Buchholz;Doris;17;12; 6 ;  
Buchmann;Daniel;5;3; 2 ;85
Buchmann;Sven;;;;83
Buchner;Prof. Dr. Klaus;23;3; 3 ;  
Büchner;Andreas;22;10; 12 ;108
Buchs;Enrico;17;;;66
Buchta;Bettina Dorothee;20;5; 4 ;  
Buck;Josef;20;;;275
Büddemann;Manfred;13;;;111
Büdel;Katharina;17;11; 29 ;  
Bühner;Tim;13;10; 22 ;  
Buljevic;Vesna;20;10; 8 ;  
Bulke;Peter;14;1; 12 ;  
Bulling-Schröter;Eva;13;2; 2 ;217
Bulmahn;Edelgard;29;9; 2 ;43
Bülow;Marco;29;10; 55 ;143
Bummel;Andreas;17;7; 13 ;184
Bunge;Dr. Martina;13;8; 2 ;12
Bünger;Hans-Ulrich;13;;;285
