Nachname;Vorname;Partei-Nr;Land-Nr.;Platz;Wahlkreis - Nr.
Fabritius;Dr. Bernd-Bernhard;8;2; 32 ;  
Fackler-Plump;Hannelore;5;2; 6 ;252
Fähnemann;Ivette Annabell;11;5; 4 ;  
Fahr;Daniel;17;;;128
Fahrner;Florian;23;2; 6 ;231
Faku;David;5;2; 8 ;218
Faku;Tobias Christoph Mzingisi;5;10; 11 ;143
Falk;Benno;20;8; 5 ;  
Falk;Markus;17;11; 7 ;200
Falk;Peter;29;2; 25 ;216
Falke;Herbert;4;10; 30 ;137
Färber;Prof. Dr. Christine;29;4; 8 ;  
Farquhar;Rena;17;;;261
Faulhaber;Gabriele;13;;;177
Faust;Dirk;17;14; 5 ;72
Faust;Dr. Hans-Georg;6;9; 17 ;53
Faust;Matthias;11;6; 1 ;  
Fechner;Dr. Johannes;29;1; 24 ;283
Fecke;Hanno;29;15; 11 ;2
Fegebank;Katharina;4;6; 3 ;20
Fehling;Thomas;17;7; 19 ;170
Fehlmann;Ralf;16;12; 3 ;  
Feike;Anette;29;16; 7 ;196
Feike;Katharina;29;8; 4 ;16
Feiler;Uwe;6;4; 6 ;59
Feindt;Karin;22;;;261
Feist;Dr. Thomas Wolfgang;6;;;154
Felber;Konrad Kurt;17;13; 6 ;164
Feldhaus;Thomas;;;;84
Feldmann;Dagmar;16;10; 4 ;137
Feldmann;Thurid;13;;;272
Feldmayer;Martina;4;;;182
Felgentreu;Dr. Fritz;29;3; 8 ;83
Fell;Dr. Bernd;17;9; 27 ;49
Fell;Hans-Josef;4;2; 2 ;248
Fellauer;Madeleine;5;13; 3 ;  
Fendt;Peter;3;2; 18 ;257
Fenner;Stefan;17;7; 41 ;  
Ferger;Gisbert;14;2; 21 ;  
Ferlemann;Enak;6;9; 8 ;30
Ferner;Elke;29;12; 1 ;296
Ferner;Wolfgang;13;11; 4 ;200
Feuerstein;Dr. Stefan;17;;;193
Feyen;Alexander;22;;;254
Fickenwirth;Thomas;17;2; 24 ;214
Fiek;Sascha;17;1; 16 ;281
Figge;Marion;22;10; 3 ;  
Filippek;Josef;13;10; 24 ;150
Fimmel;Matthias;;;;193
Fimmen;Elke;5;1; 1 ;  
Fimmen;Klaus;5;7; 7 ;183
Findeisen;Jochen;13;1; 18 ;262
Fingerle;Jan Niklas;26;12; 1 ;  
Fink-Hanebuth;Eva-Maria;17;7; 29 ;  
Finke;Peter;28;10; 2 ;  
Fischbach;Ingrid;6;10; 6 ;142
Fischer;Axel;6;;;272
Fischer;Christian;22;9; 10 ;  
Fischer;Christian;26;16; 4 ;  
Fischer;Dirk Erik;6;6; 1 ;22
Fischer;Dr. Dietrich;14;10; 7 ;  
Fischer;Harald;16;2; 6 ;  
Fischer;Hartwig;6;9; 10 ;54
Fischer;Karl-Heinz;14;10; 9 ;  
Fischer;Lydia;6;6; 8 ;  
Fischer;Marcus;17;10; 59 ;120
Fischer;Markus;17;1; 34 ;269
Fischer;Peter;29;1; 31 ;285
Fischer;Poul-Ludwig;17;11; 17 ;  
Fischer;Roland;29;2; 35 ;221
Fischer;Werner;;;;257
Fischinger;Jürgen;22;;;282
Fitzek;Peter;;;;71
Flach;Ulrike;17;10; 6 ;119
Flachsbarth;Dr. Maria Franziska;6;9; 6 ;48
Flachshaar;Daniel;26;16; 2 ;  
Fleck;Dr. Helmut;1;10; 1 ;98
Fleischer;Hermann;13;9; 27 ;50
Flöge;Holger;17;9; 29 ;46
Flosbach;Klaus-Peter;6;10; 34 ;100
Flug;Stephan;22;10; 17 ;149
Flügge;Thomas;29;9; 55 ;  
Fobo;Matthias;4;;;65
Fograscher;Gabriele;29;2; 14 ;254
Forelle;Peter;6;16; 11 ;  
Forster;Manuela;23;2; 17 ;  
Förster;Bert-Rüdiger;14;7; 2 ;180
Förster-Heldmann;Hildegard;4;7; 21 ;  
Förstermann;Frank;6;1; 59 ;  
Fortner;Josef;23;;;223
Föttinger;Verena;23;1; 1 ;  
Frackowiak;Dr. Johannes;17;16; 4 ;195
Franck;Sven Henri;29;11; 18 ;  
Frank;Hartmut;;;;59
Frank;Maria;;;;220
Franke;Dr. Edgar;29;7; 7 ;171
Frankenfeld;Philipp;17;2; 45 ;231
Frankenhauser;Herbert;8;2; 18 ;219
Franz;Frank;22;12; 1 ;298
Franz;Markus;6;12; 13 ;  
Franz;Uwe;29;11; 24 ;  
Franzke;Manfred;;;;217
Frechen;Gabriele;29;10; 37 ;92
Frederking;Dorothea;4;14; 5 ;70
Freimuth;Jürgen;23;11; 11 ;  
Freitag;Dagmar;29;10; 7 ;151
Freitag;Reinhard;17;1; 33 ;280
Frentzen;Manfred;22;;;110
Freudenberger;Erich;24;2; 9 ;249
Freudenstein;Astrid;8;2; 28 ;  
Freudigmann;Klaus;20;3; 6 ;  
Fricke;Elvira-Anna;20;14; 9 ;  
Fricke;Otto;17;10; 7 ;111
Fricke;Sebastian;4;15; 10 ;6
Fricker;Sabine;20;12; 2 ;  
Fridgen;Markus Paul Felix;22;;;213
Friedemann;Carolin;4;9; 13 ;42
Friedhoff;Paul Klemens;17;10; 12 ;113
Friedhoff;Peter;17;9; 16 ;33
Friedl;Patrick;4;;;251
Friedrich;Dr. Hans-Peter;8;2; 14 ;239
Friedrich;Peter;29;1; 9 ;287
Friedrich;Thomas;23;2; 18 ;  
Friedrichs;Hans-Christian;4;;;37
Friemann-Jennert;Maika;6;8; 9 ;  
Frieser;Michael;8;2; 16 ;245
Frigger;Urs Fabian;17;10; 41 ;147
Frings;Dr. Benedikt;22;;;94
Frister;Jörg;17;11; 15 ;  
Fritsch;Kerstin;22;;;283
Fritsche;Nicole;13;2; 7 ;218
Fritz;Erich Georg;6;10; 19 ;144
Fritzen;Maria-Elisabeth;4;;;9
Fröhlich;Jakobus;20;;;140
Fröhlich;Josephine;22;;;176
Fröhlich;Patrick;8;2; 42 ;  
Fröhlich-Abrecht;Ulrich;6;7; 41 ;  
Frohn;Christa;13;;;90
Fromm;Gabi;29;12; 30 ;  
Fromme;Jochen-Konrad;6;9; 11 ;50
Frummet;Ferdinand;27;2; 7 ;233
Fuchs;Dr. Michael;6;11; 8 ;200
Fuchs;Klaus;20;14; 5 ;71
Fuchtel;Hans-Joachim;6;;;280
Fuest;Michael;4;9; 14 ;32
Funk;Alexander;6;12; 4 ;299
Funk;Reinhard;20;9; 5 ;  
Funke;Madeleine;6;7; 40 ;  
Furch;Holger;26;10; 2 ;  
Fürst;Gabriel;6;1; 58 ;  
Fürter;Alexander;17;2; 54 ;  
Füßmann;Klaus-Wilhelm;17;10; 37 ;142
Fütterer;Gerald Paul;23;16; 12 ;  
Gaba;Irina ;3;2; 19 ;   
Gabling;Martin;22;2; 3 ;229
Gabriel;Sigmar;29;9; 24 ;50
Gädechens;Ingo;6;15; 9 ;9
Gagliardi;Giuliano;;;;289
Gahler;Dr. Wolfgang;;;;72
Gaisenkersting;Dietmar;25;10; 1 ;  
Gajek;Silke;4;8; 2 ;13
Gallas;Dr. Klaus Olaf Hagen;29;16; 13 ;  
Galle;Ronald;5;13; 9 ;  
Galwas;Marc;10;3; 16 ;  
Gambke;Dr. Thomas;4;2; 8 ;228
Gantz;Oliver;6;15; 24 ;  
Gärtner;Gabriele;20;10; 1 ;  
Gärtner;Joachim;20;7; 7 ;  
Gärtner;Johann;14;2; 1 ;  
Gärtner;Matthias;22;14; 5 ;70
Gärtner-Engel;Monika Ruth;20;10; 5 ;  
Gärtner-Leymann;Annegret;20;10; 16 ;141
Gärttner;Siegfried;22;;;271
Gasser;Wilhelm;26;2; 3 ;  
Gatermann;Harald Wilhelm;13;5; 4 ;  
Gäthje;Uwe;27;5; 1 ;56
Gauderer;Ulrike;4;7; 7 ;  
Gauger;Reiner;6;1; 13 ;  
Gaumann;Dr. Horst;17;9; 20 ;34
Gauweiler;Dr. Peter;8;;;220
Gebhart;Dr. Thomas;6;11; 11 ;212
Gehb;Dr. Jürgen;6;7; 9 ;169
Gehrcke-Reymann;Wolfgang;13;7; 2 ;183
Gehring;Kai Boris;4;10; 10 ;121
Geis;Norbert;8;;;247
Geisel;Andreas Werner;29;;;87
Geisen;Dr. Edmund Peter;17;11; 4 ;203
Gensichen;Hans-Christoph;24;11; 2 ;  
Gentsch;Patrick;22;;;166
George;Sven;10;3; 5 ;  
Georgiou;Gabriele;20;5; 2 ;  
Gerber;Christian;4;;;188
Gerdes;Michael;29;10; 51 ;126
Gerhardt;Dr. Klaus-Uwe;4;7; 16 ;185
Gerhardt;Dr. Wolfgang;17;7; 1 ;179
Gerig;Alois;6;;;276
Gersch;Kai;17;3; 5 ;79
Gerster;Martin;29;1; 12 ;292
Geß;Waltraud;7;2; 8 ;  
Gessinger;Joachim;4;4; 4 ;61
Gewehr;Klaus Erwin;29;11; 27 ;  
Giebeler;Paul Felix;5;10; 8 ;133
Gielnik;Michael;22;8; 3 ;  
Gienger;Eberhard;6;;;266
Gierlings;Elisabeth;29;2; 48 ;  
Giermann;Rita;20;6; 3 ;  
Giesbert;Tim;4;10; 18 ;119
Giese;Herta-Margarete;21;9; 1 ;  
Giesel;Jan;23;6; 3 ;  
Giesler;David;22;7; 7 ;168
Gieß;Anton;28;10; 6 ;  
Gießler;Cornelia;6;16; 12 ;  
Gilbert;Raimund;3;2; 20 ;  
Gill-Gers;Alexandra;29;11; 17 ;  
Gilles;Horst Helmut;27;9; 9 ;38
Gillet;Elmar;4;10; 24 ;  
Gilsdorf;Marlene;23;10; 13 ;  
Giren;Magdalena Isabella;13;9; 13 ;  
Girmus;Dagmar;21;9; 4 ;  
Gisart;Gero;6;10; 59 ;  
Glahn;Klaus;27;9; 3 ;52
Glanz;Claudia;4;;;162
Glas;Bärbel;6;11; 37 ;  
Gleicke;Iris;29;16; 2 ;197
Glöckner;David;14;13; 6 ;  
Glos;Michael;8;;;250
Gloser;Günter;29;2; 3 ;244
Glück;Ulrich;23;6; 8 ;  
Gmelch;Therese;20;2; 5 ;  
Godau;Eva-Maria;;;;70
Godawa;Angela;29;1; 26 ;295
Goertz;Ralf;14;10; 1 ;  
Gogolin;Marco;29;11; 20 ;  
Gohlke;Nicole;13;2; 5 ;219
Göhner-Feller;Angelika;20;1; 10 ;264
Göktas;Nerman;13;;;173
Gold;Lars;22;1; 7 ;268
Goldbach;Stephanie-Johanna;21;3; 7 ;  
Goldmann;Hans-Michael;17;9; 3 ;26
Göldner;Fritz;24;2; 1 ;  
Goldstein;Ulrike;4;2; 21 ;219
Golombeck;Heinz;17;1; 15 ;271
Golze;Diana;13;4; 5 ;61
Gonder;Axel;13;;;113
Göppel;Josef;8;;;241
Gorges;Markus;6;14; 10 ;  
Göring-Eckardt;Katrin;4;16; 1 ;192
Görke;Bianca;13;14; 9 ;  
Görmann;Horst Günter;22;5; 1 ;56
Gorr;Thomas;22;;;181
Gottschalck;Ulrike;29;;;169
Gottschalk;Sascha;4;11; 10 ;204
Götz;Christian;22;;;215
Götz;Elisabeth;22;;;223
Götz;Peter;6;;;273
Götzer;Dr. Wolfgang;8;;;228
Grabow;Ralf;17;8; 6 ;  
Grabowski;Dirk;;;;100
Graf;Andrea;4;7; 13 ;184
Graf;Angelika;29;2; 8 ;223
Graf;Rainer;23;;;267
Graf-Baier;Jutta;13;1; 15 ;  
Gramberg;Iris;13;9; 18 ;28
Grammel;Markus;24;1; 2 ;269
Granold;Ute;6;11; 9 ;206
Granser;Bruno;14;1; 14 ;  
Granzow;Dennis;29;4; 14 ;  
Grass;Heinz Hubertus;4;;;159
Grassert;Armin;15;3; 3 ;  
Gratzke;Denis;22;14; 9 ;  
Grau;Toralf;14;13; 1 ;  
Graue;Oliver;23;6; 5 ;  
Graus;Stefan Josef;29;12; 25 ;  
Greb;Gero;;;;288
Grebe;Marlies;29;9; 48 ;  
Greckl;Max Josef;27;2; 10 ;  
Greeb;Christian;22;11; 8 ;205
Greiber;Sebastian;17;;;297
Greif;Judith;4;2; 13 ;218
Greilich;Annette;17;7; 32 ;  
Grein;Eberhard;8;2; 62 ;  
Gremmler;Simon;23;10; 3 ;  
Greuter;Maria;29;12; 32 ;  
Grewe;Michael;22;8; 7 ;  
Griefahn;Monika;29;9; 19 ;37
Griesbaum;Joachim;20;6; 1 ;  
Griese;Kerstin;29;10; 14 ;106
Grigo;Mareike;4;10; 23 ;106
Grigoleit;Katrin;20;16; 5 ;  
Grimm;Gisela;3;2; 21 ;  
Grindel;Reinhard Dieter;6;9; 16 ;36
Gröhe;Hermann;6;10; 13 ;109
Grohganz;Raphael;6;7; 28 ;  
Groll;Franz;13;;;280
Groneberg;Gabriele;29;9; 14 ;33
Groos;Peter;4;;;85
Groschek;Michael;29;10; 65 ;118
Groß;Michael Peter;29;10; 47 ;123
Groß;Thorsten;22;7; 9 ;173
Groß;Werner;29;2; 42 ;213
Große;Klaus;17;3; 9 ;86
Grosse-Brömer;Michael;6;9; 7 ;37
Grosser;Lüder;5;1; 5 ;259
Großhans;Heinz;15;1; 2 ;  
Großjean;Marc;26;12; 2 ;  
Grossmann;Edward;1;1; 6 ;  
Grotelüschen;Astrid;6;9; 21 ;29
Groth;Annette;13;1; 5 ;279
Groth;Inga;6;8; 8 ;  
Grube;Andreas;;;;190
Grube;Karl-Peter;23;6; 7 ;20
Grübel;Markus;6;;;261
Gruber;Andreas;3;2; 22 ;  
Grund;Manfred;6;16; 1 ;189
Grundl;Erhard;4;2; 20 ;231
Gründler;Michael Johannes;5;13; 7 ;  
Grüning;Rolf;13;;;276
Grünwedel;Holger;13;;;251
Gruß;Miriam;17;2; 5 ;252
Grüß;Michael;10;3; 17 ;  
Grüter;Dr. Stefan;6;1; 41 ;  
Grütters;Prof. Monika;6;3; 1 ;86
Gudat;Helmut;22;10; 6 ;90
Gujjula;Ravindra;29;4; 11 ;60
Gülck;Elke;11;14; 2 ;  
Gumppenberg Freiherr von;Dietrich;17;2; 37 ;  
Gund;Madline;6;1; 37 ;  
Gunder;Rosemarie;4;2; 23 ;  
Gungl;Andrea;6;1; 42 ;  
Gunkel;Wolfgang;29;13; 5 ;158
Günter;Tanya-Michelé;16;2; 4 ;  
Günther;Joachim;17;13; 2 ;167
Gür;Derya;4;10; 21 ;  
Güssgen;Achim;17;7; 15 ;177
Gutowski;Erold;14;1; 9 ;  
Gutsche;Hermann;22;15; 6 ;5
Guttenberg Freiherr von und zu;Dr. Karl-Theodor;8;2; 3 ;240
Gutting;Olav;6;;;278
Gysi;Dr. Gregor;13;3; 1 ;85
Haag;Tilo ;26;8; 5 ;   
Haar;Detlef;27;;;46
Haase;Heiner Joachim;4;9; 10 ;35
Haase;Stephan;22;10; 2 ;150
Habereder;Christine;1;1; 2 ;  
Habisch;Thomas;26;4; 3 ;  
Hachenburger;Manuel;;;;177
Hackenbruch;Tino;6;11; 17 ;  
Hacker;Hans-Joachim;29;8; 1 ;13
Hackl;Maria;29;2; 32 ;253
Haemer;Günter;14;7; 3 ;  
Haerting;Dr. Gesine;4;;;75
Haese;Peter Joachim Bruno;22;;;230
Haese;Reinhard Gerd-Jürgen;14;3; 1 ;  
Hagedorn;Angelika Jutta;16;10; 6 ;  
Hagedorn;Bettina;29;15; 2 ;9
Hagelstein;Gene;29;7; 21 ;  
Hagemann;Klaus;29;11; 9 ;207
Hagen;Heide;26;3; 2 ;  
Hager;Jörg;22;1; 9 ;  
Hager-Dietel;Ina;8;2; 46 ;  
Häggberg;Verena;23;6; 2 ;  
Hagl;Rita;29;2; 34 ;227
Hahn;Florian;8;2; 33 ;222
Hahn;Michael;22;9; 7 ;54
Hähnel;Jörg;22;3; 2 ;77
Hähnel;Stella;22;;;63
Hähner;Andrea;20;15; 3 ;  
Haibach;Holger-Heinrich;6;7; 17 ;176
Hakverdi;Metin;29;6; 10 ;  
Halbroth;Fredy;14;1; 10 ;  
Haliti;Marcel;22;;;119
Hall;Alexandra;12;10; 3 ;  
Haller;Ingo;22;;;91
Halmanns;Matthias;22;;;115
Haltaufderheide;Karen;4;10; 19 ;139
Hamacher;Ralf;16;10; 8 ;  
Hamisch;Enrico;22;8; 8 ;  
Hammer;Sandro;13;2; 26 ;235
Hanke;Tim;6;15; 17 ;  
Hannemann-Röttgers;Brigit Susanne;29;15; 16 ;  
Hänsch;Lothar;17;6; 8 ;19
Hänsel;Heike;13;1; 2 ;290
Happach-Kasan;Dr. Christel;17;15; 2 ;10
Harbarth;Dr. Stephan;6;;;277
Hardt;Jürgen;6;10; 48 ;104
Harf;Oliver;22;;;88
Härle;Siegfried;22;;;292
Harting;Burkhard;12;10; 5 ;  
Hartmann;Alexander;5;7; 1 ;179
Hartmann;Birgit;3;2; 23 ;  
Hartmann;Detlef;22;;;104
Hartmann;Esther;13;15; 3 ;6
Hartmann;Georg;22;7; 8 ;187
Hartmann;Günther;23;2; 19 ;219
Hartmann;Maria;16;10; 1 ;  
Hartmann;Michael;29;11; 2 ;206
Hartmann;Simon;29;9; 37 ;  
Hartmann;Thomas;4;;;256
Hartmann;Uwe;3;2; 2 ;  
Hartmann-Bastert;Sabine;6;7; 44 ;  
Hartwig;Frank;22;;;255
Hartwig;Karin;22;;;253
Häse;Jenny;5;4; 2 ;  
Hasenjäger;Agnes;13;9; 11 ;  
Hassel;Dagmar;6;11; 18 ;  
Hassel-Reusing;Sarah Luzia;23;10; 12 ;  
Hasselbach;Philipp Maximilian;22;;;222
Hasselfeldt;Gerda;8;2; 2 ;216
Haßelmann;Britta;4;10; 3 ;133
Hassler;Jörgen Michael;29;4; 15 ;  
Haßler;Florian;4;1; 14 ;260
Häßler;Markus;;;;238
Hauck;Marc;17;11; 28 ;  
Hauck;Michael;4;;;244
Hauck;Norbert;14;11; 1 ;  
Hauenschild;Rainer;13;;;261
Hauer;Matthias;6;10; 46 ;121
Hauer;Nina;29;7; 11 ;177
Haug;Stefan;4;;;230
Haugg;Friedrich;17;2; 28 ;  
Häupl;Gotthard Lothar;;;;160
Hauptstein;Gabriele;17;14; 4 ;67
Haustein;Heinz-Peter;17;13; 3 ;165
Haverlandt;Sven-Gunnar;22;4; 5 ;  
Hebach;Maria-Anna;1;1; 5 ;  
Heck;Stefan;6;7; 19 ;172
Heer;Doris;13;1; 17 ;  
Heerwald;Lutz;20;4; 2 ;  
Hegendörfer;Brigitte;8;2; 47 ;  
Hegener;Ute;4;;;120
Hegewald;Reinhard;6;9; 22 ;25
Heidbüchel;Silvio;13;2; 20 ;253
Heidemann;Wilfried Bernd Jürgen;27;10; 3 ;  
Heider;Dr. Matthias;6;;;150
Heiderich;Helmut;6;7; 15 ;170
Heike;Anny;13;;;243
Heil;Hubertus;29;9; 3 ;46
Heil;Mechthild;6;11; 10 ;199
Heilemann;Martin;13;9; 31 ;25
Heilmann;Lutz Eberhard;13;;;9
Heim;Adrian;23;2; 20 ;216
Heimsoth;Dirk;22;;;39
Hein;Dr. Rosemarie Anna Gertrud;13;14; 5 ;70
Heine;Tobias;26;9; 10 ;  
Heinel;Silvia;5;3; 6 ;80
Heinemann;Uwe;29;7; 41 ;  
Heinemeyer;Anita;13;;;93
Heinen;Alexandra;6;12; 15 ;  
Heinen-Esser;Ursula;6;10; 3 ;94
Heinlein;Filip;4;;;196
Heinrich;Frank;6;;;163
Heinrich;Ralf;5;2; 10 ;253
Heins;Dr. Christine;6;15; 26 ;  
Heintel;Marcus;29;11; 15 ;201
Heinz;Alexander;17;12; 8 ;  
Heinzmann;Axel;22;;;289
Heinzmann;Gerhard;24;1; 1 ;  
Heinzmann;Michael;24;11; 1 ;  
Heise;Thorsten;22;16; 3 ;189
Heiske;Thomas Martin;17;10; 47 ;114
Heitchen;Michael;17;9; 18 ;52
Helge;Ingo;22;11; 6 ;206
Heller;Hendrik Tilmann;22;16; 5 ;197
Heller;Uda Carmen Freia;6;14; 2 ;75
Helling;Harald;29;9; 45 ;  
Helling;Katrin;17;10; 28 ;139
Hellmich;Wolfgang;29;10; 15 ;147
Hellriegel;Ronnie;22;;;258
Helmer;Jan;8;2; 34 ;  
Hemker;Dr. Reinhold;29;;;129
Hempel;Dennis;;;;78
Hempelmann;Rolf;29;10; 61 ;120
Hendricks;Dr. Barbara;29;10; 9 ;113
Henke;Rudolf;6;10; 41 ;88
Henke;Walter;17;4; 8 ;58
Henn;Werner;29;1; 35 ;278
Henne;Andreas;6;7; 31 ;  
Henneke;Stefanie;4;;;34
Hennig;Martin;5;2; 13 ;219
Hennigs von;Wolff-Eberhard;6;1; 34 ;  
Henning;Dr. Rigolf;22;;;35
Hennne;Dieter;16;12; 6 ;  
Hennrich;Michael;6;;;262
Henrichs;Werner;1;10; 3 ;99
Henry;Ursula Maria;29;12; 13 ;  
Hense;Norbert;;;;284
Hentzen;Christoph;17;7; 20 ;186
Henzler;Clemens;6;11; 35 ;  
Herbert;Dr. Ernst Albert;20;;;102
Herbert;Dr. Ulrich;17;2; 17 ;238
Herbert;Sibylle;17;7; 31 ;  
Herbert;Stefan;15;1; 7 ;  
Herlitzius;Bettina;4;10; 13 ;89
Hermann;Petra;17;10; 42 ;121
Hermann;Winfried;4;1; 6 ;290
Hermes;Stefan;26;7; 4 ;  
Herold;Hans-Dieter;4;;;240
Herr;Bärbel;14;2; 6 ;  
Herrmann;Dr. Dietrich;4;;;160
Herrmann;Jürgen;6;;;137
Hertz;Detlef;13;10; 31 ;  
Hertzler-Zimmer;Christine;29;12; 26 ;  
Herz;Monica;;;;226
Herzig;Franz;6;7; 33 ;  
Herzog;Gustav;29;11; 4 ;210
Heß;Konrad Rudolf;16;11; 6 ;  
Heß;Marion;17;1; 24 ;259
Heß;Petra;29;16; 4 ;192
Hesse;Klaus-Peter;6;6; 9 ;  
Hettlich;Peter;4;;;152
Hetz;Ingrid;15;2; 3 ;228
Heurung;Markus;26;;;251
Heuser;Walter;13;;;101
Heveling;Ansgar;6;;;111
Heyder;Matthias;22;14; 1 ;69
Heydrich;Dr. Jürgen;14;10; 2 ;  
Heyenn;Hannah;13;6; 5 ;  
Heynemann;Bernd Reinhold Gerhard;6;14; 9 ;70
Hiebinger;Wolfgang;3;2; 24 ;  
Hiekisch;Antje;22;13; 2 ;  
Hien;Michael Siegmund Reinhard;8;2; 44 ;  
Hiksch;Uwe;13;;;238
Hilburger;Karl Willi Arthur;27;2; 5 ;  
Hildebrand;Anna-Maria;5;3; 8 ;81
Hildebrandt;Arne;26;4; 4 ;  
Hildebrandt;Robert;26;16; 5 ;  
Hilgenkamp;Frank;4;;;147
Hilgert;Rainer;23;11; 1 ;  
Hilker;Axel;4;15; 12 ;  
Hill;Hans-Kurt;13;;;298
Hillbrecht;Dirk;26;9; 1 ;  
Hillebrand;Heinz;13;;;104
Hiller-Ohm;Gabriele;29;15; 4 ;11
Hinsken;Ernst;8;;;231
Hintze;Henning;13;2; 16 ;221
Hintze;Peter;6;10; 4 ;103
Hinz;Petra;29;10; 32 ;121
Hinz;Priska;4;7; 1 ;173
Hirsch;Cornelia;13;16; 5 ;192
Hirte;Christian;6;16; 4 ;190
Hitschler;Thomas;29;11; 32 ;  
Hochbaum;Robert;6;;;167
Höche;Heidrun;15;1; 10 ;  
Hochstein;Stephan;5;10; 9 ;141
Hoersch;Rüdiger;27;12; 1 ;  
Höferlin;Manuel;17;11; 5 ;207
Hoff;Elke;17;11; 3 ;198
Hoffman;Dr. Bettina;4;7; 9 ;  
Hoffmann;Dieter;4;12; 3 ;  
Hoffmann;Dr. Ludwig;5;1; 4 ;  
Hoffmann;Hans-Viktor;17;4; 7 ;  
Hoffmann;Rolf;;;;7
Hoffmann;Susanne;22;;;281
Hoffmann;Timo;5;3; 11 ;  
Hoffmann;Ulrich;23;2; 2 ;253
Hoffmeier;Michael;4;16; 6 ;189
Höfken-Deipenbrock;Ulrike;4;11; 1 ;203
Hofmann;Axel;13;;;100
Hofmann;Frank;29;2; 11 ;250
Hofmann;Frank;3;;;250
Hofmann;Franziska;7;2; 10 ;  
Hofmann;Friedrich;20;16; 3 ;  
Hofreiter;Dr. Anton;4;2; 4 ;222
Hofstetter;Hermann;23;2; 21 ;225
Höger;Inge;13;10; 3 ;134
Högl;Dr. Eva;29;3; 7 ;76
Hohenadl;Ruth;17;2; 27 ;218
Höhfeld;Jörg;4;;;142
Hohmann;Anna Helga Angela;29;9; 44 ;  
Höhn;Bärbel;4;10; 1 ;118
Höhne;Renate;20;10; 21 ;  
Holl;Michael;;;;251
Höll;Dr. Barbara;13;13; 3 ;153
Hollack;Karin;22;;;48
Holmeier;Karl;8;;;234
Holst;Ingeborg;21;1; 1 ;  
Holz;Angela Brigitte;29;9; 38 ;  
Holzenkamp;Franz-Josef;6;9; 30 ;33
Holzer;Malte;22;9; 5 ;32
Homburger;Birgit;17;1; 1 ;287
Hönlinger;Ingrid;4;1; 9 ;265
Honsel;Gerhard;16;10; 7 ;  
Höntsch;Michael Hans;13;9; 29 ;42
Hopfner;Dr. Wielant;22;2; 5 ;250
Hopmann;Ulrich;29;10; 64 ;  
Hoppe;Siegmund;26;6; 3 ;  
Hoppe;Thilo;4;9; 4 ;25
Horb;Margaret;6;1; 18 ;  
Horbas;Rainer;17;;;152
Horn;Waldemar;22;;;214
Hörner;Manfred;20;2; 9 ;  
Hornig;Mirco;14;10; 16 ;  
Hornung;Cornelia;29;7; 24 ;  
Hornung;Fritz-Walter;13;;;181
Hornung;Nicole;26;7; 7 ;186
Hörster;Heinz-Jürgen;13;10; 26 ;99
Hörster;Joachim;6;11; 1 ;205
Horz-Hövel;Sophia;4;7; 15 ;  
Houben;Bettina;17;10; 36 ;96
Höveler;Andreas Christian;11;10; 4 ;  
Hövelmann;Heinrich;16;10; 12 ;  
Hövener;Jan;;;;55
Höving;Heiner;11;14; 1 ;  
Höwing;Ulrich;;;;140
Hoyer;Dr. Guido;13;2; 14 ;215
Hoyer;Dr. Werner;17;10; 4 ;95
Hubatschek;André Torsten;17;13; 8 ;166
Huber;Edda;21;2; 5 ;  
Huber;Judith;29;3; 13 ;  
Huber;Jürgen;4;;;233
Huber;Klaus;16;2; 5 ;  
Huber;Konrad;14;2; 8 ;256
Huber;Martin;14;2; 9 ;  
Hubig;Ute;6;12; 10 ;  
Hübinger;Anette;6;12; 2 ;296
Hübner;Bernd Michael;13;;;123
Hübner;Klaas;29;;;72
Huemer;Robert;23;2; 22 ;252
Huffer;Michael;13;;;49
Hufgard;Christian;26;7; 3 ;  
Hühnlein;Johannes;22;;;248
Hultsch;Roland Wolfgang;5;13; 12 ;  
Humme;Christel;29;10; 25 ;140
Hummel;Alexander Helmut;8;2; 40 ;  
Hummel;Peter;5;7; 5 ;  
Hummel;Thomas;3;2; 10 ;  
Hummel;Werner;16;2; 10 ;  
Hummert;Christian;13;16; 11 ;  
Hunderlach;Ralph;26;2; 8 ;  
Hunko;Andrej Konstantin;13;10; 6 ;88
Hunner;Jelica;3;2; 25 ;  
Hunner;Johann;3;2; 26 ;  
Hupe;Vera;23;16; 6 ;  
Hüppe;Hubert;6;10; 22 ;145
Hurst;Martina;6;1; 23 ;  
Hussinger;Monica;17;12; 4 ;  
Huth;Christian;5;;;206
Huth;Joachim;5;;;24
Igelmann;Richard ;11;9; 5 ;   
Ilius;Klaus-Dieter;20;3; 5 ;  
Ilius;Petra;20;3; 3 ;85
Ilkhanipour;Danial;29;;;21
Irion;Jörg Joachim;20;4; 3 ;  
Irmscher;Philipp;17;2; 42 ;237
Iseke;Thomas;17;9; 21 ;44
Izgin;Figen;13;3; 7 ;82
Jackowski;Gerlind Annemarie ;23;9; 4 ;   
Jaeschke;Jan;22;;;274
Jager;Dr. Eva;17;7; 34 ;  
Jäger;Ulf;13;;;125
Jagsch;Stefan;22;7; 5 ;179
Jahn;Andreas;22;;;184
Jahn;Kirsten;4;10; 25 ;  
Jansen;Franz;;;;202
Janssen;Jan;;;;9
Janssen;Michael;22;;;111
